"Name","IconSWF","IconExportNameWorking","IconExportNameReady","IconExportNameLevelUp","IconExportNameCooldown","IconExportNameSelect","TID","Skin","MenuSkin","InfoTID","Gender","RequiredTownHallLevel","Type","BoostMultiplier","BoostTimeSeconds","CostResource","Cost","SourceResource","MaxSourceResource","MaxSourceResourceMultiplier","TargetResource","MaxTargetResource","ResourceConvertionMultiplier"
"String","String","String","String","String","String","String","String","String","String","String","String","int","String","int","int","String","int","String","String","int","String","String","int"
"BuilderApprentice","sc/ui.sc","builder_assistant_working","villager_builder_assistant_illustration","builder_assistant_levelup","builder_assistant_cooldown","icon_select_builder","TID_BUILDER_APPRENTICE","BuilderApprentice","BuilderApprenticeMenu","TID_BUILDER_APPRENTICE_INFO","M",10,"BUILDER",1,3600,"Diamonds",500,,,,,,
,,,,,,,,,,,,10,,2,3600,,500,,,,,,
,,,,,,,,,,,,11,,3,3600,,750,,,,,,
,,,,,,,,,,,,11,,4,3600,,750,,,,,,
,,,,,,,,,,,,12,,5,3600,,1000,,,,,,
,,,,,,,,,,,,12,,6,3600,,1000,,,,,,
,,,,,,,,,,,,13,,7,3600,,1000,,,,,,
,,,,,,,,,,,,14,,8,3600,,1000,,,,,,
"ResearchApprentice","sc/ui.sc","builder_assistant_working","villager_builder_assistant_illustration","builder_assistant_levelup","builder_assistant_cooldown","icon_select_lab","TID_RESEARCHER_APPRENTICE","LabAssistant","LabAssistantMenu","TID_RESEARCHER_APPRENTICE_INFO","M",9,"RESEARCHER",1,3600,"Diamonds",0,,,,,,
,,,,,,,,,,,,10,,2,3600,,500,,,,,,
,,,,,,,,,,,,10,,3,3600,,500,,,,,,
,,,,,,,,,,,,11,,4,3600,,500,,,,,,
,,,,,,,,,,,,12,,5,3600,,750,,,,,,
,,,,,,,,,,,,12,,6,3600,,750,,,,,,
,,,,,,,,,,,,13,,7,3600,,750,,,,,,
,,,,,,,,,,,,13,,8,3600,,750,,,,,,
,,,,,,,,,,,,14,,9,3600,,1000,,,,,,
,,,,,,,,,,,,14,,10,3600,,1000,,,,,,
,,,,,,,,,,,,15,,11,3600,,1000,,,,,,
,,,,,,,,,,,,16,,12,3600,,1000,,,,,,
"Alchemist","sc/ui.sc","builder_assistant_working","villager_builder_assistant_illustration","builder_assistant_levelup","builder_assistant_cooldown","icon_select_alchemist","TID_ALCHEMIST_APPRENTICE","Alchemist","AlchemistMenu","TID_ALCHEMIST_APPRENTICE_INFO","F",11,"ALCHEMIST",0,4,"Diamonds",100,"Gold;Elixir;DarkElixir","1500000;1500000;10000",100,"Gold;Elixir;DarkElixir","1500000;1500000;10000",101
,,,,,,,,,,,,12,,0,4,,250,,,150,,,102
,,,,,,,,,,,,13,,0,4,,500,,,200,,,104
,,,,,,,,,,,,14,,0,4,,1000,,,300,,,105
,,,,,,,,,,,,15,,0,4,,1000,,,400,,,107
,,,,,,,,,,,,16,,0,4,,1500,,,500,,,109
,,,,,,,,,,,,17,,0,4,,1500,,,700,,,110
